COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
"64000",高雄市,"64000030",左營區,64000030-024,聖南里,"45","17","28","353","172","181","137","68","69",113Y06M
"64000",高雄市,"64000030",左營區,64000030-025,城南里,"22","11","11","309","167","142","145","74","71",113Y06M
"64000",高雄市,"64000030",左營區,64000030-026,路東里,"32","16","16","475","252","223","200","103","97",113Y06M
"64000",高雄市,"64000030",左營區,64000030-027,?北里,"21","12","9","268","146","122","116","54","62",113Y06M
"64000",高雄市,"64000030",左營區,64000030-028,?南里,"38","24","14","412","227","185","150","75","75",113Y06M
"64000",高雄市,"64000030",左營區,64000030-029,埤西里,"32","17","15","515","282","233","302","142","160",113Y06M
"64000",高雄市,"64000030",左營區,64000030-030,埤北里,"49","27","22","780","416","364","411","177","234",113Y06M
"64000",高雄市,"64000030",左營區,64000030-031,埤東里,"39","18","21","556","286","270","302","153","149",113Y06M
"64000",高雄市,"64000030",左營區,64000030-032,海勝里,"360","190","170","4095","2110","1985","1491","537","954",113Y06M
"64000",高雄市,"64000030",左營區,64000030-034,崇實里,"432","226","206","2932","1396","1536","530","237","293",113Y06M
"64000",高雄市,"64000030",左營區,64000030-035,自助里,"237","111","126","1921","893","1028","194","82","112",113Y06M
"64000",高雄市,"64000030",左營區,64000030-036,果貿里,"199","113","86","1959","951","1008","756","288","468",113Y06M
"64000",高雄市,"64000030",左營區,64000030-037,果惠里,"90","49","41","986","472","514","418","160","258",113Y06M
"64000",高雄市,"64000030",左營區,64000030-038,果峰里,"102","48","54","1041","537","504","462","170","292",113Y06M
"64000",高雄市,"64000030",左營區,64000030-039,新下里,"1877","979","898","11863","5464","6399","2613","1078","1535",113Y06M
"64000",高雄市,"64000030",左營區,64000030-040,新上里,"3765","1893","1872","21294","9871","11423","5042","2191","2851",113Y06M
"64000",高雄市,"64000030",左營區,64000030-041,新中里,"647","333","314","3591","1790","1801","1142","521","621",113Y06M
"64000",高雄市,"64000030",左營區,64000030-042,新光里,"2418","1271","1147","12006","5633","6373","2224","952","1272",113Y06M
"64000",高雄市,"64000030",左營區,64000030-043,菜公里,"4829","2481","2348","25931","12287","13644","4219","1775","2444",113Y06M
"64000",高雄市,"64000030",左營區,64000030-044,福山里,"7545","3896","3649","33167","15429","17738","4596","1898","2698",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-001,清豐里,"5047","2608","2439","20475","9941","10534","3011","1338","1673",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-002,東寧里,"1231","634","597","4214","1936","2278","693","293","400",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-003,五常里,"1230","638","592","5520","2674","2846","1056","484","572",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-004,享平里,"496","253","243","2525","1189","1336","646","283","363",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-005,中陽里,"612","321","291","2681","1311","1370","671","291","380",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-006,惠楠里,"323","164","159","2603","1398","1205","656","307","349",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-007,惠民里,"669","369","300","3815","1884","1931","848","370","478",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-008,惠豐里,"461","263","198","4008","1938","2070","868","371","497",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-009,錦屏里,"174","90","84","2084","1072","1012","734","336","398",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-010,玉屏里,"158","76","82","1507","807","700","488","221","267",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-011,金田里,"468","251","217","3628","1795","1833","718","299","419",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-012,稔田里,"116","68","48","1136","593","543","369","179","190",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-013,瑞屏里,"377","203","174","2672","1331","1341","820","345","475",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-014,翠屏里,"1825","974","851","13882","6766","7116","2475","1053","1422",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-015,宏南里,"114","60","54","401","177","224","265","132","133",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-016,宏毅里,"494","249","245","1316","653","663","687","318","369",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-017,宏榮里,"565","295","270","1929","913","1016","615","332","283",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-018,廣昌里,"290","146","144","2184","1116","1068","736","279","457",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-019,久昌里,"393","211","182","2311","1135","1176","519","207","312",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-020,大昌里,"211","106","105","1601","826","775","477","161","316",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-021,福昌里,"219","117","102","1601","834","767","479","214","265",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-022,盛昌里,"797","415","382","4502","2264","2238","1050","463","587",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-023,泰昌里,"177","94","83","1048","535","513","343","149","194",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-024,興昌里,"729","376","353","3526","1786","1740","835","362","473",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-025,建昌里,"318","168","150","1985","993","992","580","255","325",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-026,宏昌里,"568","302","266","2643","1258","1385","640","282","358",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-027,和昌里,"197","105","92","1406","698","708","543","236","307",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-028,慶昌里,"419","209","210","2201","1064","1137","876","415","461",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-029,隆昌里,"359","185","174","2389","1192","1197","843","368","475",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-030,秀昌里,"263","131","132","1561","759","802","478","211","267",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-031,裕昌里,"918","493","425","4002","1958","2044","792","329","463",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-032,國昌里,"508","281","227","2766","1408","1358","724","314","410",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-033,加昌里,"1393","705","688","6817","3277","3540","1613","690","923",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-034,仁昌里,"901","488","413","4343","2026","2317","840","337","503",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-035,藍田里,"2274","1183","1091","8014","3880","4134","835","361","474",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-036,中興里,"494","254","240","2107","1060","1047","305","135","170",113Y06M
"64000",高雄市,"64000040",楠梓區,64000040-037,中和里,"1596","806","790","5364","2642","2722","523","239","284",113Y06M
"64000",高雄市,"64000050",三民區,64000050-001,鼎金里,"404","200","204","3035","1503","1532","834","381","453",113Y06M
"64000",高雄市,"64000050",三民區,64000050-002,鼎盛里,"1208","637","571","6204","2963","3241","1419","641","778",113Y06M
"64000",高雄市,"64000050",三民區,64000050-003,鼎強里,"517","272","245","3026","1497","1529","851","378","473",113Y06M
"64000",高雄市,"64000050",三民區,64000050-004,鼎力里,"498","267","231","3032","1469","1563","892","396","496",113Y06M
"64000",高雄市,"64000050",三民區,64000050-005,鼎西里,"704","352","352","5772","2780","2992","1389","586","803",113Y06M
"64000",高雄市,"64000050",三民區,64000050-006,鼎中里,"311","157","154","2924","1435","1489","857","374","483",113Y06M
"64000",高雄市,"64000050",三民區,64000050-007,鼎泰里,"3228","1646","1582","18014","8411","9603","3691","1577","2114",113Y06M
"64000",高雄市,"64000050",三民區,64000050-008,本館里,"741","402","339","6657","3228","3429","1837","832","1005",113Y06M
"64000",高雄市,"64000050",三民區,64000050-009,本和里,"679","350","329","5784","2786","2998","1443","630","813",113Y06M
"64000",高雄市,"64000050",三民區,64000050-010,本文里,"152","74","78","1401","684","717","469","219","250",113Y06M
"64000",高雄市,"64000050",三民區,64000050-011,本武里,"318","169","149","1273","618","655","395","185","210",113Y06M
"64000",高雄市,"64000050",三民區,64000050-012,本元里,"1005","485","520","4066","1895","2171","1082","477","605",113Y06M
"64000",高雄市,"64000050",三民區,64000050-013,本安里,"1140","548","592","3456","1643","1813","919","422","497",113Y06M
"64000",高雄市,"64000050",三民區,64000050-014,本上里,"1290","672","618","3514","1562","1952","1052","473","579",113Y06M
